tau_3R_mean,tau_4X_mean,tau_5Y_mean,phi_X_mean,phi_Y_mean,lnL_mean,tau_3R_median,tau_4X_median,tau_5Y_median,phi_X_median,phi_Y_median,lnL_median,tau_3R_sd,tau_4X_sd,tau_5Y_sd,phi_X_sd,phi_Y_sd,lnL_sd,tau_3R_min,tau_4X_min,tau_5Y_min,phi_X_min,phi_Y_min,lnL_min,tau_3R_max,tau_4X_max,tau_5Y_max,phi_X_max,phi_Y_max,lnL_max,tau_3R_percent25,tau_4X_percent25,tau_5Y_percent25,phi_X_percent25,phi_Y_percent25,lnL_percent25,tau_3R_percent975,tau_4X_percent975,tau_5Y_percent975,phi_X_percent975,phi_Y_percent975,lnL_percent975,tau_3R_hpd25,tau_4X_hpd25,tau_5Y_hpd25,phi_X_hpd25,phi_Y_hpd25,lnL_hpd25,tau_3R_hpd975,tau_4X_hpd975,tau_5Y_hpd975,phi_X_hpd975,phi_Y_hpd975,lnL_hpd975,tau_3R_ess,tau_4X_ess,tau_5Y_ess,phi_X_ess,phi_Y_ess,lnL_ess,tau_3R_eff,tau_4X_eff,tau_5Y_eff,phi_X_eff,phi_Y_eff,lnL_eff,genome,model,dfe,divtime,percent,rep
0.004706,0.002613,0.002613,0.180775,0.382128,-476716.358704,0.004667,0.002552,0.002552,0.174492,0.385316,-476716.273500,0.000134,0.000117,0.000117,0.057046,0.057138,80.196606,0.004667,0.002552,0.002552,0.064027,0.196017,-477079.256000,0.005309,0.002839,0.002839,0.368149,0.535748,-476386.202000,0.004667,0.002552,0.002552,0.093413,0.251650,-476875.018000,0.005309,0.002839,0.002839,0.314351,0.482820,-476560.073000,0.004667,0.002552,0.002552,0.085204,0.252147,-476874.099000,0.005077,0.002839,0.002839,0.290518,0.483203,-476559.377000,28.816947,26.062259,26.062259,30.821277,31.390800,6658.968864,0.000288,0.000261,0.000261,0.000308,0.000314,0.066590,DROSOPHILA-testing-redo,nomig,neutral,1250,NA,5
0.003919,0.002314,0.002314,0.241038,0.304315,-458071.677490,0.003815,0.002226,0.002226,0.236065,0.308782,-458071.362000,0.000118,0.000121,0.000121,0.048767,0.052394,77.689881,0.003815,0.002226,0.002226,0.112719,0.164894,-458402.334000,0.004054,0.002594,0.002594,0.415200,0.440364,-457719.253000,0.003815,0.002226,0.002226,0.159021,0.198246,-458224.636000,0.004054,0.002594,0.002594,0.354510,0.393309,-457919.428000,0.003815,0.002226,0.002226,0.151667,0.195632,-458223.826000,0.004054,0.002594,0.002594,0.346025,0.390182,-457918.808000,25.542103,26.160932,26.160932,36.868580,32.139007,10315.684690,0.000255,0.000262,0.000262,0.000369,0.000321,0.103157,DROSOPHILA-testing-redo,nomig,linkedancestor,1250,5percent,20
0.003861,0.000890,0.000890,0.242133,0.077227,-474516.429300,0.003857,0.001005,0.001005,0.246827,0.077193,-474527.063500,0.000171,0.000184,0.000184,0.035625,0.016940,120.123876,0.003403,0.000489,0.000489,0.140326,0.029882,-474933.118000,0.004426,0.001364,0.001364,0.340703,0.137756,-474039.552000,0.003403,0.000563,0.000563,0.175092,0.048113,-474729.108000,0.004426,0.001153,0.001153,0.304656,0.110208,-474274.667000,0.003403,0.000547,0.000547,0.172346,0.046891,-474729.876000,0.004046,0.001005,0.001005,0.301144,0.108763,-474275.652000,29.959609,27.083475,27.083475,32.778912,43.204222,49.897397,0.000300,0.000271,0.000271,0.000328,0.000432,0.000499,DROSOPHILA-testing-redo,p2_p1,neutral,1250,NA,19
0.002472,0.001060,0.001060,0.134797,0.252599,-450840.536500,0.002374,0.001018,0.001018,0.132438,0.253100,-450840.148500,0.000163,0.000070,0.000070,0.029169,0.033401,79.047749,0.002374,0.001018,0.001018,0.054756,0.165062,-451202.149000,0.002919,0.001252,0.001252,0.234324,0.358876,-450492.924000,0.002374,0.001018,0.001018,0.083886,0.188704,-450997.252000,0.002919,0.001252,0.001252,0.195816,0.315233,-450687.458000,0.002374,0.001018,0.001018,0.081353,0.186730,-450995.844000,0.002754,0.001181,0.001181,0.192330,0.312615,-450686.191000,26.293013,26.294280,26.294280,45.395662,37.460926,6740.047575,0.000263,0.000263,0.000263,0.000454,0.000375,0.067400,DROSOPHILA-testing-redo,p1_p2,linkedp1,1250,10percent,11
0.002781,0.000521,0.000521,0.176142,0.055017,-451443.816489,0.002669,0.000487,0.000487,0.169826,0.052697,-451436.795000,0.000158,0.000128,0.000128,0.029118,0.014482,98.019328,0.002669,0.000354,0.000354,0.116549,0.022429,-451930.341000,0.003247,0.000945,0.000945,0.302025,0.135156,-451082.181000,0.002669,0.000406,0.000406,0.140005,0.034542,-451666.438000,0.003247,0.000945,0.000945,0.265201,0.098945,-451269.308000,0.002669,0.000422,0.000422,0.134447,0.029239,-451646.934000,0.003247,0.000945,0.000945,0.255043,0.082599,-451254.302000,26.605701,28.755292,28.755292,33.959532,43.140999,91.596643,0.000266,0.000288,0.000288,0.000340,0.000431,0.000916,DROSOPHILA-testing-redo,p2_p1,linkedp1,1250,5percent,3
0.002906,0.000681,0.000681,0.064583,0.193553,-452197.832661,0.002929,0.000627,0.000627,0.059952,0.185606,-452192.187500,0.000152,0.000162,0.000162,0.019203,0.031415,98.562802,0.002740,0.000475,0.000475,0.026080,0.119033,-452706.004000,0.003156,0.001174,0.001174,0.143958,0.324160,-451804.515000,0.002740,0.000519,0.000519,0.038704,0.149236,-452407.942000,0.003156,0.001174,0.001174,0.115695,0.266302,-452019.179000,0.002740,0.000500,0.000500,0.034954,0.144815,-452397.617000,0.003156,0.000919,0.000919,0.109418,0.260636,-452010.262000,25.750031,27.426035,27.426035,37.606889,35.271674,81.960718,0.000258,0.000274,0.000274,0.000376,0.000353,0.000820,DROSOPHILA-testing-redo,p1_p2,linkedancestor,1250,15percent,16
0.006531,0.001559,0.001559,0.012771,0.145964,-464831.332694,0.006518,0.001567,0.001567,0.012471,0.145564,-464830.632500,0.000283,0.000092,0.000092,0.003783,0.010322,80.378173,0.005907,0.001471,0.001471,0.002075,0.106631,-465187.041000,0.007404,0.001672,0.001672,0.031163,0.186799,-464481.779000,0.006075,0.001471,0.001471,0.006289,0.126656,-464990.499000,0.007205,0.001672,0.001672,0.020992,0.167221,-464675.579000,0.006106,0.001471,0.001471,0.005791,0.125965,-464987.457000,0.007211,0.001672,0.001672,0.020306,0.166363,-464672.682000,39.099622,25.371780,25.371780,270.396693,138.479272,1548.395327,0.000391,0.000254,0.000254,0.002704,0.001385,0.015484,DROSOPHILA-testing-redo,p1_p2,linkedp1,5000,10percent,16
0.014145,0.001918,0.001918,0.000756,0.001294,-473905.276955,0.014136,0.001918,0.001918,0.000518,0.001051,-473905.040000,0.000664,0.000000,0.000000,0.000775,0.001021,72.238837,0.011599,0.001918,0.001918,0.000000,0.000000,-474208.238000,0.016682,0.001918,0.001918,0.010619,0.012439,-473611.931000,0.012938,0.001918,0.001918,0.000017,0.000076,-474048.070000,0.015481,0.001918,0.001918,0.002825,0.003887,-473764.907000,0.013011,0.001918,0.001918,0.000000,0.000001,-474046.948000,0.015529,0.001918,0.001918,0.002272,0.003275,-473764.001000,82.539261,1.000000,1.000000,1281.296268,1416.476782,17191.703370,0.000825,0.000010,0.000010,0.012813,0.014165,0.171917,DROSOPHILA-testing-redo,nomig,linkedancestor,20000,5percent,15
0.002344,0.000843,0.000843,0.091780,0.222041,-453105.384618,0.002283,0.001041,0.001041,0.093447,0.227241,-453131.756000,0.000076,0.000296,0.000296,0.044171,0.050952,147.716594,0.002283,0.000398,0.000398,0.020104,0.120236,-453525.987000,0.002438,0.001112,0.001112,0.237257,0.344902,-452600.602000,0.002283,0.000442,0.000442,0.032786,0.146988,-453345.482000,0.002438,0.001112,0.001112,0.177125,0.309491,-452831.355000,0.002283,0.000451,0.000451,0.028536,0.144459,-453346.118000,0.002438,0.001112,0.001112,0.168369,0.306356,-452832.208000,25.574364,25.445790,25.445790,29.448576,28.077493,35.858675,0.000256,0.000254,0.000254,0.000294,0.000281,0.000359,DROSOPHILA-testing-redo,p1_p2,linkedp1,1250,15percent,2
0.009995,0.002215,0.002215,0.066705,0.001542,-480938.634177,0.009992,0.002215,0.002215,0.066460,0.001280,-480938.232000,0.000472,0.000000,0.000000,0.006610,0.001109,76.641584,0.008727,0.002215,0.002215,0.044410,0.000004,-481264.101000,0.011428,0.002215,0.002215,0.094262,0.010405,-480623.635000,0.009050,0.002215,0.002215,0.054523,0.000185,-481090.068000,0.010927,0.002215,0.002215,0.080286,0.004370,-480789.638000,0.009141,0.002215,0.002215,0.054285,0.000025,-481087.126000,0.010967,0.002215,0.002215,0.079993,0.003714,-480786.803000,50.185602,1.000000,1.000000,722.934533,297.979353,7845.405989,0.000502,0.000010,0.000010,0.007229,0.002980,0.078454,DROSOPHILA-testing-redo,p2_p1,linkedp1,20000,5percent,6
0.008344,0.001743,0.001743,0.071905,0.002041,-472159.612708,0.008337,0.001743,0.001743,0.071664,0.001814,-472159.147500,0.000350,0.000000,0.000000,0.006379,0.001251,74.911995,0.007442,0.001743,0.001743,0.048928,0.000002,-472468.990000,0.009276,0.001743,0.001743,0.101267,0.010890,-471814.976000,0.007681,0.001743,0.001743,0.059940,0.000305,-472307.802000,0.009070,0.001743,0.001743,0.085101,0.005066,-472014.232000,0.007677,0.001743,0.001743,0.059176,0.000068,-472303.729000,0.008932,0.001743,0.001743,0.084269,0.004448,-472010.533000,42.745688,1.000000,1.000000,900.666961,754.957186,14864.829934,0.000427,0.000010,0.000010,0.009007,0.007550,0.148648,DROSOPHILA-testing-redo,p2_p1,bgs,20000,NA,13
0.014384,0.002576,0.002576,0.003574,0.002077,-472019.969281,0.014483,0.002576,0.002576,0.002921,0.001699,-472019.831000,0.001226,0.000000,0.000000,0.002737,0.001634,72.748266,0.007333,0.002576,0.002576,0.000002,0.000000,-472342.018000,0.017615,0.002576,0.002576,0.022661,0.014834,-471709.060000,0.010513,0.002576,0.002576,0.000321,0.000103,-472163.249000,0.016049,0.002576,0.002576,0.010947,0.006202,-471878.255000,0.012860,0.002576,0.002576,0.000002,0.000000,-472164.737000,0.016191,0.002576,0.002576,0.008965,0.005253,-471880.074000,43.429524,1.000000,1.000000,132.149666,208.070506,2058.285172,0.000434,0.000010,0.000010,0.001321,0.002081,0.020583,DROSOPHILA-testing-redo,nomig,linkedp1,20000,5percent,5
0.006476,0.001767,0.001767,0.020687,0.129720,-468495.589072,0.006422,0.001812,0.001812,0.020393,0.129483,-468495.103000,0.000258,0.000089,0.000089,0.005011,0.010469,81.071578,0.005839,0.001595,0.001595,0.004339,0.094123,-468858.305000,0.007284,0.002009,0.002009,0.043976,0.164957,-468184.074000,0.006093,0.001595,0.001595,0.011753,0.109497,-468655.650000,0.006964,0.002009,0.002009,0.031251,0.150893,-468338.216000,0.006065,0.001595,0.001595,0.011230,0.109787,-468654.949000,0.006883,0.001812,0.001812,0.030497,0.151116,-468337.690000,34.039643,27.365344,27.365344,283.659450,185.458037,4088.924770,0.000340,0.000274,0.000274,0.002837,0.001855,0.040889,DROSOPHILA-testing-redo,p1_p2,adaptiveint,5000,5percent,3
