tau_3R_mean,tau_4X_mean,tau_5Y_mean,phi_X_mean,phi_Y_mean,lnL_mean,tau_3R_median,tau_4X_median,tau_5Y_median,phi_X_median,phi_Y_median,lnL_median,tau_3R_sd,tau_4X_sd,tau_5Y_sd,phi_X_sd,phi_Y_sd,lnL_sd,tau_3R_min,tau_4X_min,tau_5Y_min,phi_X_min,phi_Y_min,lnL_min,tau_3R_max,tau_4X_max,tau_5Y_max,phi_X_max,phi_Y_max,lnL_max,tau_3R_percent25,tau_4X_percent25,tau_5Y_percent25,phi_X_percent25,phi_Y_percent25,lnL_percent25,tau_3R_percent975,tau_4X_percent975,tau_5Y_percent975,phi_X_percent975,phi_Y_percent975,lnL_percent975,tau_3R_hpd25,tau_4X_hpd25,tau_5Y_hpd25,phi_X_hpd25,phi_Y_hpd25,lnL_hpd25,tau_3R_hpd975,tau_4X_hpd975,tau_5Y_hpd975,phi_X_hpd975,phi_Y_hpd975,lnL_hpd975,tau_3R_ess,tau_4X_ess,tau_5Y_ess,phi_X_ess,phi_Y_ess,lnL_ess,tau_3R_eff,tau_4X_eff,tau_5Y_eff,phi_X_eff,phi_Y_eff,lnL_eff,genome,model,dfe,divtime,percent,rep
0.005834,0.003041,0.003041,0.256905,0.242448,-493204.564706,0.005746,0.002917,0.002917,0.252079,0.238405,-493204.504500,0.000213,0.000161,0.000161,0.050806,0.051459,81.660223,0.005414,0.002917,0.002917,0.094361,0.108609,-493570.858000,0.006384,0.003368,0.003368,0.433362,0.431058,-492825.204000,0.005525,0.002917,0.002917,0.166343,0.153996,-493365.035000,0.006221,0.003368,0.003368,0.364708,0.358352,-493045.265000,0.005525,0.002917,0.002917,0.165940,0.146741,-493366.199000,0.006162,0.003368,0.003368,0.364185,0.349838,-493046.519000,124.447519,120.687671,120.687671,157.804885,157.930486,10772.368537,0.000260,0.000252,0.000252,0.000329,0.000330,0.022476,drosophila,nomig,linkedancestor,1250,10percent,20
0.018268,0.002898,0.002898,0.003461,0.055272,-562867.694362,0.018190,0.002735,0.002735,0.003263,0.054990,-562867.387500,0.000886,0.000248,0.000248,0.001577,0.005768,82.926895,0.015662,0.002735,0.002735,0.000054,0.034322,-563250.811000,0.021717,0.003357,0.003357,0.014743,0.084164,-562493.632000,0.016643,0.002735,0.002735,0.000980,0.044814,-563031.274000,0.020247,0.003357,0.003357,0.007061,0.067465,-562706.046000,0.016514,0.002735,0.002735,0.000680,0.044229,-563029.799000,0.020045,0.003357,0.003357,0.006539,0.066713,-562704.723000,228.304230,125.531423,125.531423,589.984903,659.656093,14669.108377,0.000457,0.000251,0.000251,0.001180,0.001319,0.029338,drosophila,p1_p2,linkedancestor,20000,5percent,19
0.010385,0.002022,0.002022,0.016353,0.118543,-526894.038173,0.010333,0.001943,0.001943,0.016105,0.117913,-526893.465000,0.000452,0.000148,0.000148,0.003909,0.009709,86.098379,0.009120,0.001943,0.001943,0.003527,0.083356,-527316.921000,0.012406,0.002579,0.002579,0.041139,0.181999,-526494.323000,0.009635,0.001943,0.001943,0.009414,0.101201,-527064.475000,0.011488,0.002579,0.002579,0.024749,0.139278,-526726.928000,0.009592,0.001943,0.001943,0.008913,0.100279,-527064.232000,0.011402,0.002384,0.002384,0.024099,0.138079,-526726.729000,172.968758,110.788567,110.788567,405.067495,308.746809,3111.368662,0.000399,0.000256,0.000256,0.000934,0.000712,0.007176,drosophila,p1_p2,balancing,5000,15percent,7
0.010538,0.002470,0.002470,0.027530,0.119680,-530079.743362,0.010504,0.002460,0.002460,0.027173,0.119429,-530079.240000,0.000397,0.000117,0.000117,0.006322,0.010348,86.053774,0.009438,0.002265,0.002265,0.008025,0.076808,-530481.117000,0.011933,0.002656,0.002656,0.062012,0.164016,-529673.431000,0.009801,0.002265,0.002265,0.016257,0.100051,-530249.809000,0.011347,0.002656,0.002656,0.040582,0.140548,-529912.257000,0.009779,0.002265,0.002265,0.015690,0.099473,-530248.062000,0.011298,0.002656,0.002656,0.039901,0.139850,-529910.585000,196.993031,110.772578,110.772578,302.355227,336.819343,4435.877525,0.000449,0.000253,0.000253,0.000690,0.000768,0.010120,drosophila,p1_p2,balancing,5000,15percent,1
0.009679,0.001995,0.001995,0.026875,0.111346,-514419.886716,0.009664,0.001959,0.001959,0.026637,0.110964,-514419.695500,0.000347,0.000092,0.000092,0.004663,0.008970,83.070968,0.008709,0.001959,0.001959,0.010954,0.076520,-514844.009000,0.011234,0.002590,0.002590,0.050887,0.153750,-514050.719000,0.009077,0.001959,0.001959,0.018459,0.094742,-514583.131000,0.010452,0.002151,0.002151,0.036669,0.130091,-514257.795000,0.009035,0.001959,0.001959,0.018079,0.094111,-514581.644000,0.010389,0.002151,0.002151,0.036173,0.129336,-514256.416000,283.515787,132.457732,132.457732,796.288661,482.188379,10705.451718,0.000567,0.000265,0.000265,0.001593,0.000964,0.021411,drosophila,p1_p2,adaptiveint,5000,15percent,18
0.004635,0.001296,0.001296,0.066171,0.311477,-499301.564460,0.004418,0.001241,0.001241,0.065282,0.310338,-499301.134000,0.000235,0.000067,0.000067,0.015674,0.027809,83.958059,0.004418,0.001241,0.001241,0.014442,0.216832,-499698.828000,0.004991,0.001541,0.001541,0.169680,0.416382,-498909.319000,0.004418,0.001241,0.001241,0.037962,0.260885,-499467.905000,0.004991,0.001541,0.001541,0.098362,0.368042,-499138.313000,0.004418,0.001241,0.001241,0.036092,0.260375,-499466.038000,0.004991,0.001336,0.001336,0.095868,0.367422,-499136.587000,125.564472,128.027205,128.027205,384.515150,237.412867,4618.021603,0.000251,0.000256,0.000256,0.000769,0.000475,0.009236,drosophila,p1_p2,balancing,1250,15percent,11
0.010732,0.002263,0.002263,0.027301,0.099756,-521999.441740,0.010701,0.002246,0.002246,0.027072,0.099432,-521999.114500,0.000452,0.000155,0.000155,0.004856,0.008721,84.632426,0.009482,0.002053,0.002053,0.010035,0.067816,-522407.851000,0.013040,0.002874,0.002874,0.054558,0.142269,-521621.964000,0.009943,0.002053,0.002053,0.018513,0.083727,-522166.164000,0.011822,0.002874,0.002874,0.037496,0.118097,-521834.934000,0.009800,0.002053,0.002053,0.017985,0.082703,-522166.546000,0.011541,0.002654,0.002654,0.036855,0.116838,-521835.376000,207.279234,127.909014,127.909014,540.895035,431.633146,6417.307042,0.000415,0.000256,0.000256,0.001082,0.000863,0.012835,drosophila,p1_p2,linkedancestor,5000,15percent,12
0.004654,0.002620,0.002620,0.241948,0.117164,-488782.999429,0.004654,0.002610,0.002610,0.242390,0.113196,-488782.727000,0.000000,0.000051,0.000051,0.040562,0.036600,81.555439,0.004654,0.002610,0.002610,0.122643,0.008484,-489205.394000,0.004654,0.003031,0.003031,0.392592,0.264910,-488404.560000,0.004654,0.002610,0.002610,0.163786,0.055255,-488943.616000,0.004654,0.002823,0.002823,0.319776,0.195683,-488624.098000,0.004654,0.002610,0.002610,0.162059,0.050548,-488942.714000,0.004654,0.002610,0.002610,0.317880,0.189354,-488623.274000,1.000000,138.393274,138.393274,192.297432,201.449724,34018.443802,0.000002,0.000277,0.000277,0.000385,0.000403,0.068037,drosophila,nomig,linkedp1,1250,5percent,18
0.015942,0.002373,0.002373,0.012295,0.051715,-575210.136352,0.015912,0.002373,0.002373,0.012077,0.051543,-575209.973000,0.000666,0.000000,0.000000,0.002773,0.005210,83.265690,0.013729,0.002373,0.002373,0.003020,0.031232,-575618.342000,0.018538,0.002373,0.002373,0.029902,0.077612,-574854.017000,0.014712,0.002373,0.002373,0.007489,0.041977,-575374.240000,0.017285,0.002373,0.002373,0.018333,0.062448,-575047.881000,0.014745,0.002373,0.002373,0.007105,0.041623,-575371.666000,0.017295,0.002373,0.002373,0.017809,0.062055,-575045.384000,260.125794,1.000000,1.000000,785.645676,1046.089327,27326.870433,0.000530,0.000002,0.000002,0.001599,0.002129,0.055628,drosophila,p1_p2,balancing,20000,5percent,14
0.003972,0.002452,0.002452,0.227820,0.159938,-463407.086989,0.003920,0.002402,0.002402,0.227234,0.153647,-463406.788500,0.000444,0.000295,0.000295,0.069653,0.070905,77.153232,0.003427,0.002100,0.002100,0.046354,0.000203,-463792.527000,0.004425,0.002901,0.002901,0.485411,0.367004,-463035.042000,0.003427,0.002100,0.002100,0.105167,0.047380,-463559.034000,0.004425,0.002901,0.002901,0.368790,0.304858,-463256.666000,0.003427,0.002100,0.002100,0.092808,0.041447,-463561.021000,0.004425,0.002901,0.002901,0.352942,0.295384,-463258.759000,125.259789,125.437065,125.437065,144.804524,142.406750,7999.448641,0.000251,0.000251,0.000251,0.000290,0.000285,0.015999,drosophila,nomig,bgs,1250,NA,18
