L,nu1,nu2,T,m12,m21,theta0,model,genome,dfe,divtime,percent
-1093.81701245784,0.915506500024716,1.0477540113218626,0.2962294032652728,4.113176945185532e-05,0.1361184032146923,1763.44035227456,p1_p2,simple,balancing,1250,5
-1095.5812340676036,0.9348755403423744,1.0376109180427155,0.3184800912785404,0.0192786312142076,0.2184580903495471,1741.9259592778185,p1_p2,simple,balancing,1250,5
-1133.6068391006795,0.806567283229551,1.050051493859891,0.2708542309716927,0.0117506168373619,0.0521006732753787,1822.5501801634568,p1_p2,simple,balancing,1250,5
-1130.9755580604424,0.8110869413500302,1.0453961467537505,0.2678932721905013,0.0175680204431158,0.0153881584189596,1824.6470556159572,p1_p2,simple,balancing,1250,5
-1399.2577357515806,0.4027758346526775,0.5633366267496268,0.1438073184915299,0.0675412921179524,0.0301217273359216,2357.1804953279907,p1_p2,simple,balancing,1250,5
-1081.6731321463449,0.8788204626336905,0.9792094391577096,0.3311437795439472,0.1267428441323467,0.3412565887557943,1771.237078950841,p1_p2,simple,balancing,1250,5
-1087.0684108404955,0.8885363740922148,1.1053269819117917,0.3235361649269719,0.1570379776740313,0.1262579747566412,1732.315798886553,p1_p2,simple,balancing,1250,5
-1075.5638365130096,0.8678686449301324,1.1313984313866268,0.292683790812611,0.0095521735457142,0.0748707609183094,1758.1934406428622,p1_p2,simple,balancing,1250,5
-1118.7955416824434,0.7609409039700727,0.9230310398468006,0.2613582323877816,0.0990053859417896,0.0984462692844444,1890.8497709077703,p1_p2,simple,balancing,1250,5
-1087.2084026573657,0.9240868267878124,1.0268352520760748,0.3706145409471344,0.0590350385781754,0.4533066214436346,1711.9678948422677,p1_p2,simple,balancing,1250,5
-1088.5545372648012,0.8440289031757509,1.0798788032402484,0.2863908811459837,0.0393789923692253,0.0445270418024736,1786.1817436285912,p1_p2,simple,balancing,1250,5
-1073.9484907348392,0.941471578620358,0.9866076455200647,0.3562257777062225,0.0264296680323111,0.4856821395880839,1729.1534509314065,p1_p2,simple,balancing,1250,5
-1098.924108144629,0.8999675360035453,1.0719941332262126,0.2897826775520948,0.0379754903459669,0.1208884935305066,1766.9817198451994,p1_p2,simple,balancing,1250,5
-1088.566231983803,0.8686371828984031,1.0895362676719011,0.3071654642124375,0.0808584723238857,0.0877396718566253,1757.1342648648083,p1_p2,simple,balancing,1250,5
-1123.8588502466362,0.82088851208252,1.0035057867650714,0.2728324949564947,0.035955352703008,0.0395233064244411,1829.7983486799124,p1_p2,simple,balancing,1250,5
-1102.2820129872375,0.9085780486104644,1.055753293517317,0.3456536506593154,0.0723198767438206,0.3500576265222466,1725.2368176208272,p1_p2,simple,balancing,1250,5
-1097.9720068241534,0.7811400078406853,1.0436393959662706,0.2751602314505679,0.0831943804334749,0.0448683329540458,1830.0006759797552,p1_p2,simple,balancing,1250,5
-1087.5439112727397,0.8716683759243308,1.0342338969344578,0.3269141185751154,0.0666342683138963,0.2885637994328256,1758.9046155550168,p1_p2,simple,balancing,1250,5
-1159.9541705195388,0.6282239987273525,0.8593259299265198,0.2094078836664666,0.0334906048890271,0.0077759249627243,2018.6054415641247,p1_p2,simple,balancing,1250,5
-1091.0683429174833,0.9118020815404012,1.0699750414801013,0.3717185840458218,0.1391323725326937,0.4411958721910473,1701.5712714727172,p1_p2,simple,balancing,1250,5
-1101.6358133364947,0.8204956821810488,0.975142070741241,0.3120380541173369,0.0805100593854715,0.2478444063354346,1808.949765871008,p1_p2,simple,balancing,1250,5
-1096.6512074724883,0.9136721594554524,1.0577107776581487,0.3290549551440229,0.070356305682324,0.2717922658654551,1734.8991426770394,p1_p2,simple,balancing,1250,5
-1085.9803661151852,0.8560686372445281,1.0601566265073763,0.2847255348101932,0.0090202748909672,0.0430689794391564,1789.3246945487338,p1_p2,simple,balancing,1250,5
-1119.662730291484,0.9146232604298118,1.068172018759104,0.3084959107055122,0.0490267784938561,0.1003736429468117,1746.8877698911635,p1_p2,simple,balancing,1250,5
-1097.4276607624597,0.8727591312481644,1.013023644487376,0.3496639237419613,0.1629325838458959,0.3971970227690847,1749.1278476234877,p1_p2,simple,balancing,1250,5
-1226.8928979598038,0.6314039970103938,0.6934327834111098,0.1911545934417345,0.0193881752121581,0.00078413580907,2104.5462488337503,p1_p2,simple,balancing,1250,5
-1075.0099762563557,0.7953018771769743,1.0924514121311562,0.2874639434973947,0.1256598303466203,0.0417751632537354,1798.8649214504849,p1_p2,simple,balancing,1250,5
-1090.6466606626832,0.8328090657771355,1.042862513486249,0.2728310379908769,0.0356002486285822,0.0330751765273874,1813.1774642820856,p1_p2,simple,balancing,1250,5
-1087.4735763463502,0.8390175197852248,1.0554722621454535,0.2919733526118849,0.0546105536226969,0.1127226068123406,1790.9235748809488,p1_p2,simple,balancing,1250,5
-1104.3002573539188,0.8144770983824368,1.0773019397801027,0.2698068325023747,0.0061349135424065,0.019116193327861,1812.262826155811,p1_p2,simple,balancing,1250,5
-1082.755019723636,0.9217953083539786,1.0541996010075214,0.3434843026242256,0.0932688598022326,0.2474690159498151,1721.7886341233354,p1_p2,simple,balancing,1250,5
-1121.200243277668,0.72584586296761,0.977947623026102,0.2364452813816603,0.0036094665382016,0.0264177978508417,1908.004373783612,p1_p2,simple,balancing,1250,5
-1175.0734551102971,0.7074727861709812,0.7852224903731452,0.2232515780422608,0.0535943925924414,0.0288107293061797,1999.885260306127,p1_p2,simple,balancing,1250,5
-1108.3093334151804,0.927005822362124,1.037723656300696,0.3613221417195605,0.1173342737361814,0.4180335548736558,1713.3168343508455,p1_p2,simple,balancing,1250,5
-1118.3642756475683,0.8318726295325483,1.0352174473044806,0.2729572896609225,0.0072464559597443,0.0646672465217329,1816.037870575732,p1_p2,simple,balancing,1250,5
-1132.3900104665586,0.8294623187819501,1.0182923905183872,0.2708424613382983,0.0,0.0420638921706001,1823.8608600799475,p1_p2,simple,balancing,1250,5
-1128.2219028466193,0.7997137499302512,1.0263952844669857,0.2689130845583848,0.0208264607797087,0.0103229420776106,1833.746235040269,p1_p2,simple,balancing,1250,5
-1105.3352824086792,0.9096383125705716,1.0467236048565691,0.3337523592434306,0.0081368578745062,0.3080172617319746,1736.5414138686504,p1_p2,simple,balancing,1250,5
-1132.683986031124,0.841865081525106,0.9535818112812724,0.2651820370336012,0.0273934696001999,0.0251386374824648,1845.042414833056,p1_p2,simple,balancing,1250,5
-1136.3819894011335,0.7441193012922697,0.975245094149032,0.2530842730816297,0.0867270942582523,0.0170708757461334,1886.0598040654168,p1_p2,simple,balancing,1250,5
-1111.359699153365,0.976137014392099,1.137961865593944,0.3412753411631999,0.0357889815068791,0.1822756353216707,1681.3402476760143,p1_p2,simple,balancing,1250,5
-1083.832052094505,0.9164106255423428,1.0342971383546038,0.3034973809122653,0.0001908965126902,0.0960323264965105,1760.664579002627,p1_p2,simple,balancing,1250,5
-1122.5117025499387,0.8059698445438271,1.039385288127236,0.2620915586071292,0.0169120497060614,0.0209113329078017,1833.683885910504,p1_p2,simple,balancing,1250,5
-1096.459420937168,0.9298633643688052,1.0610737190783377,0.3246564864622279,0.0200152791952672,0.2362377185628177,1731.763252077868,p1_p2,simple,balancing,1250,5
-3190.6891728275787,0.0227950054184686,0.0316349706771766,0.0057415295760743,0.0109552736270206,0.0033203314366212,3135.807306457982,p1_p2,simple,balancing,1250,5
-1115.5227227662003,0.8438267283499729,1.076402674772345,0.2936384699642666,0.0624634375765059,0.0548054622117003,1780.9835254304644,p1_p2,simple,balancing,1250,5
-1312.559622139256,0.4859376776246791,0.5686752644896322,0.1492452314279899,0.0,0.0079500963581305,2287.087376388717,p1_p2,simple,balancing,1250,5
-1070.2292369917195,0.868341701484559,1.1413020380004788,0.2977595348959519,0.0441101768390574,0.1140666607034453,1751.0519212122754,p1_p2,simple,balancing,1250,5
-1104.4570771314247,0.834830771561643,0.9789087080017018,0.2844206888500036,0.0510163204541709,0.1730977312998496,1823.584152551158,p1_p2,simple,balancing,1250,5
-1109.0005239793768,0.8557631086458369,1.0530206085217435,0.2832328271747045,0.0222449341997961,0.0053201339658908,1792.5703079159318,p1_p2,simple,balancing,1250,5
-1117.9976243140236,0.8427435018466863,1.0707674576002204,0.278155262607934,0.0786317068839482,0.0113573599442048,1796.2822082699263,p1_p2,simple,balancing,1250,5
-1088.7915643356016,0.8535038757193306,1.1088113578403869,0.2935739422310954,0.0676845279835656,0.0497034737432895,1768.1659212316908,p1_p2,simple,balancing,1250,5
-1103.612909892151,0.7112478756597316,0.9634938397753938,0.251810243349656,0.0321671892386228,0.0514741540468482,1905.5440617738532,p1_p2,simple,balancing,1250,5
-1089.195627024657,0.8830540572074367,1.0336034195561998,0.3134013106746616,0.0,0.2923136739087913,1765.871337222825,p1_p2,simple,balancing,1250,5
-1115.6251726749565,0.9019666028856098,1.0812543566223718,0.2965539072103221,0.0233127140746424,0.0778933143905813,1757.426479019855,p1_p2,simple,balancing,1250,5
-1099.2513992300487,0.8246360876052716,1.0481068799665536,0.2709817392642292,0.0685994137863068,0.0025295030634876,1815.8807832260964,p1_p2,simple,balancing,1250,5
-1112.4674757448902,0.8988210983040668,1.0759055684795646,0.2873022034001026,0.0602452380297103,0.0454036792517296,1767.888312226033,p1_p2,simple,balancing,1250,5
-1127.1888278105805,0.8085682209664155,1.0339016199457087,0.2716959186932854,0.0429617191785589,0.0541747405939069,1825.911531978234,p1_p2,simple,balancing,1250,5
-1139.274015040295,0.810256908548846,1.0530600020841148,0.2690747078037107,0.106742002546089,0.0584495059472564,1821.6171924835708,p1_p2,simple,balancing,1250,5
-1126.858772792054,0.7583393548726578,0.8625058685500839,0.2564336990973292,0.0663253438492633,0.1215155278717795,1918.9882777129476,p1_p2,simple,balancing,1250,5
-1124.7729850590597,0.8835043781044053,1.1158334665687322,0.3064363180148404,0.0764295372812183,0.1151712084597382,1745.35793007693,p1_p2,simple,balancing,1250,5
-1084.8972801632688,0.8863182489576816,1.0511553637358833,0.3430788602805777,0.117782566239981,0.3518577973848788,1736.3739195370183,p1_p2,simple,balancing,1250,5
-1088.469790694855,0.8966816780642389,0.9929121230696708,0.331197489886876,0.0419732347232171,0.3787507805078409,1760.5769814238352,p1_p2,simple,balancing,1250,5
-1093.6935062803518,0.8541728650971736,1.10577482734996,0.280252189013407,0.0,0.0699681760733111,1781.1252851020795,p1_p2,simple,balancing,1250,5
-1107.4551283761723,0.8638487780638296,1.0321545283849356,0.2739919856327631,0.0,0.06681337513531,1804.7717688453013,p1_p2,simple,balancing,1250,5
-1124.1157039351942,0.8512559413215112,0.996981682918287,0.2762677987875368,0.0657876190098725,0.0392344115077379,1817.759869287605,p1_p2,simple,balancing,1250,5
-1120.909527436791,0.797080629485198,0.97816140785717,0.2622047783736561,0.0424181416502836,0.0124858081991265,1856.1615455469732,p1_p2,simple,balancing,1250,5
-1090.9991864081912,0.9149347194765672,1.072933949528522,0.3007230213775623,0.0097578237719808,0.1523297583583059,1752.5143981067547,p1_p2,simple,balancing,1250,5
-1143.9627695529991,0.6821312219200284,0.7982744334256576,0.2228947013368057,0.0258829125248964,0.0421068304406793,2006.612613995838,p1_p2,simple,balancing,1250,5
-1288.3560847215997,0.7485258340542561,0.6347680886840525,0.2105979251632618,0.0353042088812813,0.0516735629376774,2062.156349006087,p1_p2,simple,balancing,1250,5
-1125.007845400481,0.8131351924379338,0.9798812605574122,0.259017958246359,0.0010774377736452,0.0569029448710881,1852.7606941733025,p1_p2,simple,balancing,1250,5
-1124.2179864485065,0.8282497337698531,0.9997520532333006,0.269725265677245,0.0498651810076956,0.0539215901970168,1831.0891181684003,p1_p2,simple,balancing,1250,5
-1147.522482560356,0.6617513967863348,0.8552590433233778,0.2190850952568654,0.0159570093473008,0.0,1995.777203178252,p1_p2,simple,balancing,1250,5
-1117.3702826908416,0.8651298235235056,1.0260692682534505,0.2784986165500642,0.0041758474039385,0.0879730115454322,1802.2620267073369,p1_p2,simple,balancing,1250,5
-1132.4619011579916,0.9052547490370684,0.9662037457820564,0.2886134667296555,0.0086293891040243,0.143609545110374,1798.6786998031075,p1_p2,simple,balancing,1250,5
-1103.0510158832108,0.8401210548096433,1.085793217676337,0.2768014129379913,0.0154733089445726,0.0493144152331693,1794.54254302396,p1_p2,simple,balancing,1250,5
-1102.0530262729776,0.9224091821153028,1.1545260737278076,0.3037598901749752,0.0250491892065664,0.0570727724007819,1724.2287424043482,p1_p2,simple,balancing,1250,5
-1115.9218702449448,0.7035838624761174,0.9634554266069492,0.2336918061205941,0.007253536485601,2.4455230320715583e-05,1924.487841713396,p1_p2,simple,balancing,1250,5
-1134.0671593105155,0.8471733602366827,1.0343788904581817,0.2639702628504968,0.0002721308062722,0.0009683523903378,1818.642141438642,p1_p2,simple,balancing,1250,5
-1121.7748705966646,0.918284556387806,1.0825001257746032,0.2996902819788297,0.0330378982237945,0.0668849088555341,1748.900452726214,p1_p2,simple,balancing,1250,5
-1123.213098195245,0.8471414799222607,0.984167049465415,0.2895782776350548,0.0021452356456644,0.1485135470566491,1812.90170436628,p1_p2,simple,balancing,1250,5
-1138.1555977702417,0.8057454450334448,1.0100109705324931,0.2533434832882734,0.0019524254557003,0.0155936447475386,1850.8751173764545,p1_p2,simple,balancing,1250,5
-1092.4943419476326,0.8839785430342141,1.0692114247988922,0.3511700753112489,0.1355660505196907,0.3133144714031506,1725.2475106030415,p1_p2,simple,balancing,1250,5
-3302.872647954342,0.0218967650121876,0.028548862649179,0.0052519951893975,0.0072299772223458,0.0043802373272273,3129.914347445934,p1_p2,simple,balancing,1250,5
-1126.914531662432,0.8374305383006,1.0350509266431367,0.2675634599818985,0.0204333802798961,0.0151294804197783,1818.5879784619224,p1_p2,simple,balancing,1250,5
-1100.4704507369347,0.8907162599762338,1.033933121551304,0.3334006968765046,0.1312746481838848,0.2929984415228402,1746.9027199400375,p1_p2,simple,balancing,1250,5
-1135.319674333478,0.7954195388154546,1.008632618770892,0.2642104364100418,0.0,0.0362272456241373,1845.4231487927811,p1_p2,simple,balancing,1250,5
-1107.627809246197,0.8278169950948117,1.0523590718216496,0.2830938253878247,2.4425836456093928e-05,0.1555691003447816,1804.1826901377465,p1_p2,simple,balancing,1250,5
-1083.8896221828363,0.9059795826025636,1.0172910315882773,0.3439562292670124,0.093868039282701,0.4128987505755495,1739.9236851243388,p1_p2,simple,balancing,1250,5
-1068.1591268246743,0.9118371972373458,1.0441057454378764,0.3488773356142024,0.0403223253407674,0.4072664274141518,1725.9877863683446,p1_p2,simple,balancing,1250,5
-1093.265816108492,0.8217279642835675,1.0593938723909,0.278937796648819,0.0899400807805877,0.0400382251104363,1806.6221425422443,p1_p2,simple,balancing,1250,5
-1073.3298832757116,0.8979911619590373,1.0003330810282844,0.3559867912938003,0.1076736838126456,0.4308078896377963,1739.896581061682,p1_p2,simple,balancing,1250,5
-3356.361843139802,0.0209066404295121,0.0285575744449908,0.0052691162806709,0.0077637079518236,0.0057463881919298,3146.995542300479,p1_p2,simple,balancing,1250,5
-1131.1136124136242,0.8415534260823314,1.0217199449003902,0.2764158449782364,0.0078815451599403,0.0754468965283347,1813.695876097192,p1_p2,simple,balancing,1250,5
-1140.72705910978,0.7605469653989397,0.927951349554618,0.2485756657279536,0.0015784660889408,0.0345629217194592,1899.9554564339612,p1_p2,simple,balancing,1250,5
-1101.0603099764294,0.791993807512167,1.0134861580884562,0.2704414993116342,0.0382809844328645,0.0372794876819918,1839.575641219956,p1_p2,simple,balancing,1250,5
-1123.5672012218308,0.8667568550209899,1.061837168030246,0.2766562660938295,0.0099755141799073,0.0290114746717927,1792.2841251756888,p1_p2,simple,balancing,1250,5
-1106.2690186851055,0.7846050268381355,1.0280596934338062,0.2576017759999697,0.0,0.0034813624305532,1849.152872932627,p1_p2,simple,balancing,1250,5
-1100.01033756668,0.8367242525180355,1.072200896550166,0.2835499429200227,0.0597745646368036,0.0848928532115517,1793.788942427372,p1_p2,simple,balancing,1250,5
-1072.3456571004244,0.8347383103422444,1.0993815962395266,0.2891543574020497,0.0404228101711161,0.1123093594962244,1781.9696710651815,p1_p2,simple,balancing,1250,5
-143.23529583756928,1.8922845602169345,1.8971517385905363,16.0,0.0,0.0,372.9633522986156,nomig,drosophila,linkedp1,20000,10
-140.01658765840995,1.7322735301310377,1.7145560917682,14.635488214218222,0.0,0.0,407.1543605865841,nomig,drosophila,linkedp1,20000,10
-150.2569441458914,1.717158088469559,1.7871336237907895,14.878951127416418,0.0,0.0,400.754243990982,nomig,drosophila,linkedp1,20000,10
-144.1804308658752,1.2491750250090092,1.2511162055303684,10.526675909247157,0.0,0.0,555.5223772554061,nomig,drosophila,linkedp1,20000,10
-148.23288428901918,1.481098250437314,1.4884075677120352,12.245923708501266,0.0,0.0,477.665206252917,nomig,drosophila,linkedp1,20000,10
-146.7652440199713,0.6459327362361991,0.6405206219707003,4.885538820459597,0.0,0.0,1084.9131545332914,nomig,drosophila,linkedp1,20000,10
-140.87959437006216,1.6356626316813412,1.6893533678974433,14.333732727891972,0.0,0.0,417.6482994573472,nomig,drosophila,linkedp1,20000,10
-154.3564596147186,1.3025406227028984,1.278274436927266,10.574187195733233,0.0,0.0,547.7341396698454,nomig,drosophila,linkedp1,20000,10
-149.07943155138844,1.8522404889857904,1.9273296741083108,16.0,0.0,0.0,373.318995073125,nomig,drosophila,linkedp1,20000,10
-150.1224337020882,1.850029658775544,1.89058629477976,15.999999999999998,0.0,0.0,374.7292760928696,nomig,drosophila,linkedp1,20000,10
-153.7665299047397,1.862559068912244,1.8330055951636843,16.0,0.0,0.0,376.37386224322216,nomig,drosophila,linkedp1,20000,10
-158.9508330307521,1.8653239370616213,1.8377415585019747,16.0,0.0,0.0,376.0990325386469,nomig,drosophila,linkedp1,20000,10
-143.07754715731738,1.865328534531024,1.857811830005548,16.0,0.0,0.0,375.36548915892575,nomig,drosophila,linkedp1,20000,10
-148.16518354124509,1.936577866890168,1.949485961217912,16.0,0.0,0.0,369.5171233093147,nomig,drosophila,linkedp1,20000,10
-145.23936329509493,1.9211802122356887,1.8326132953585532,16.0,0.0,0.0,374.2511273940999,nomig,drosophila,linkedp1,20000,10
-146.47312984471574,1.910745762471069,1.918338757062214,16.0,0.0,0.0,371.54149133825496,nomig,drosophila,linkedp1,20000,10
-147.7765633359511,1.8528403896331709,1.8872048405539648,15.920799943456766,0.0,0.0,375.86587752136666,nomig,drosophila,linkedp1,20000,10
-150.6830370666326,0.6698971545324262,0.6882460012416333,4.975212706137946,0.0,0.0,1053.4376423816127,nomig,drosophila,linkedp1,20000,10
-146.03942405027425,1.822985374231611,1.912535567313244,15.99893250978108,0.0,0.0,374.929625976318,nomig,drosophila,linkedp1,20000,10
-155.46368330232207,0.6196300658364923,0.6236380269228827,4.645850253205485,0.0,0.0,1127.916119011011,nomig,drosophila,linkedp1,20000,10
-152.31642900163106,0.5235450968249479,0.5142302120732798,3.705837633430559,2.716797320229234e-06,0.0,1352.4095122145352,nomig,drosophila,linkedp1,20000,10
-153.18100303650925,0.7558991328512844,0.7719627497342337,5.687574259580527,0.0,0.0,939.4627661494216,nomig,drosophila,linkedp1,20000,10
-147.80029489644778,1.8579446166401816,1.8147097853901903,15.757647488916362,0.0,0.0,380.69685115883925,nomig,drosophila,linkedp1,20000,10
-156.40069679299296,0.5157281907834779,0.5445749735931705,3.8492953301701753,7.046851523681884e-05,0.0,1316.5679303064564,nomig,drosophila,linkedp1,20000,10
-152.4673569024419,0.6662093316009412,0.657303852331888,4.980032027493192,0.0,0.0,1062.9482449752663,nomig,drosophila,linkedp1,20000,10
-158.405267291451,0.721555965402516,0.7643782907913493,5.573447261483281,0.0,0.0,959.5368531120836,nomig,drosophila,linkedp1,20000,10
-154.77295054548551,1.9278356144018571,1.925405555570558,16.0,0.0,0.0,370.6805272806312,nomig,drosophila,linkedp1,20000,10
-148.18618522794213,1.3184143610217138,1.2697975294626245,10.8498326283077,0.0,0.0,539.0293702563426,nomig,drosophila,linkedp1,20000,10
-146.2687959147441,0.6483952925135494,0.643992258390856,4.822593932732301,3.090133487369507e-05,0.0,1090.5634200184456,nomig,drosophila,linkedp1,20000,10
-157.09865762714225,1.6833309742519886,1.7518183649380146,14.469846219529158,0.0,0.0,410.4283611725926,nomig,drosophila,linkedp1,20000,10
-144.73341476467328,1.8902364623779728,1.846586490642517,16.0,0.0,0.0,374.8672260209368,nomig,drosophila,linkedp1,20000,10
-158.83945704445924,0.6271123312031346,0.6273200660334617,4.646540185653121,0.0,0.0,1124.1590864778982,nomig,drosophila,linkedp1,20000,10
-154.1874952747915,0.560311813390706,0.5597760164053771,4.232620218134781,3.686818230969335e-05,0.0,1229.482362013047,nomig,drosophila,linkedp1,20000,10
-144.19451123011686,1.771062847381517,1.885320530355871,16.0,0.0,0.0,377.81620920818375,nomig,drosophila,linkedp1,20000,10
-143.072043303772,1.8790666224064287,1.829536632487564,16.0,0.0,0.0,375.89643480630366,nomig,drosophila,linkedp1,20000,10
-155.82035579885354,0.7581154435685891,0.7226988990838688,5.510774675423535,0.0,0.0,966.576882946255,nomig,drosophila,linkedp1,20000,10
-156.32161635481592,1.912256236712172,1.8770666314809712,16.0,0.0,0.0,372.9674638039917,nomig,drosophila,linkedp1,20000,10
-157.1830269576599,0.522090577543356,0.5217550004849354,3.6688611438504446,0.0,5.1823030584269934e-05,1356.3310772939458,nomig,drosophila,linkedp1,20000,10
-147.93878539237224,1.8300696668929448,1.87047177807614,16.0,0.0,0.0,376.1914789804913,nomig,drosophila,linkedp1,20000,10
-152.05009567549448,0.4875729359837333,0.494910899766,3.4377861271876733,0.0,9.112307187092226e-05,1432.084689492275,nomig,drosophila,linkedp1,20000,10
-164.75405446948594,0.5574137624933316,0.5548785287570204,3.9249280612358297,0.0,0.0,1281.019870658344,nomig,drosophila,linkedp1,20000,10
-143.35870382327033,1.8492066227462831,1.8729337383360012,16.0,0.0,0.0,375.4019474245344,nomig,drosophila,linkedp1,20000,10
-153.84466161113403,1.9061677519879563,1.8527939936319011,16.0,0.0,0.0,374.0637591723652,nomig,drosophila,linkedp1,20000,10
