model,genome,dfe,percent,divtime,sites
p1_p2,simple,linkedancestor,15,20000,174660
p1_p2,simple,linkedancestor,15,20000,174864
p1_p2,simple,linkedancestor,15,20000,174893
p1_p2,simple,linkedancestor,15,20000,175003
p1_p2,simple,linkedancestor,15,20000,174870
p1_p2,simple,linkedancestor,15,20000,174751
p1_p2,simple,linkedancestor,15,20000,174756
p1_p2,simple,linkedancestor,15,20000,174850
p1_p2,simple,linkedancestor,15,20000,174870
p1_p2,simple,linkedancestor,15,20000,174738
p1_p2,simple,linkedancestor,15,20000,174941
p1_p2,simple,linkedancestor,15,20000,174736
p1_p2,simple,linkedancestor,15,20000,174886
p1_p2,simple,linkedancestor,15,20000,174741
p1_p2,simple,linkedancestor,15,20000,174820
p1_p2,simple,linkedancestor,15,20000,174909
p1_p2,simple,linkedancestor,15,20000,174832
p1_p2,simple,linkedancestor,15,20000,174774
p1_p2,simple,linkedancestor,15,20000,174813
p1_p2,simple,linkedancestor,15,20000,174804
p1_p2,simple,linkedancestor,15,20000,174874
p1_p2,simple,linkedancestor,15,20000,174662
p1_p2,simple,linkedancestor,15,20000,174738
p1_p2,simple,linkedancestor,15,20000,174734
p1_p2,simple,linkedancestor,15,20000,174781
p1_p2,simple,linkedancestor,15,20000,174812
p1_p2,simple,linkedancestor,15,20000,174973
p1_p2,simple,linkedancestor,15,20000,174740
p1_p2,simple,linkedancestor,15,20000,174948
p1_p2,simple,linkedancestor,15,20000,174723
p1_p2,simple,linkedancestor,15,20000,174674
p1_p2,simple,linkedancestor,15,20000,174913
p1_p2,simple,linkedancestor,15,20000,174665
p1_p2,simple,linkedancestor,15,20000,174862
p1_p2,simple,linkedancestor,15,20000,174743
p1_p2,simple,linkedancestor,15,20000,174916
p1_p2,simple,linkedancestor,15,20000,174738
p1_p2,simple,linkedancestor,15,20000,174896
p1_p2,simple,linkedancestor,15,20000,174670
p1_p2,simple,linkedancestor,15,20000,174654
p1_p2,simple,linkedancestor,15,20000,174819
p1_p2,simple,linkedancestor,15,20000,174839
p1_p2,simple,linkedancestor,15,20000,174879
p1_p2,simple,linkedancestor,15,20000,174957
p1_p2,simple,linkedancestor,15,20000,174813
p1_p2,simple,linkedancestor,15,20000,174709
p1_p2,simple,linkedancestor,15,20000,174810
p1_p2,simple,linkedancestor,15,20000,174766
p1_p2,simple,linkedancestor,15,20000,174926
p1_p2,simple,linkedancestor,15,20000,174856
p1_p2,simple,linkedancestor,15,20000,174726
p1_p2,simple,linkedancestor,15,20000,174911
p1_p2,simple,linkedancestor,15,20000,174768
p1_p2,simple,linkedancestor,15,20000,175010
p1_p2,simple,linkedancestor,15,20000,174888
p1_p2,simple,linkedancestor,15,20000,174730
p1_p2,simple,linkedancestor,15,20000,174788
p1_p2,simple,linkedancestor,15,20000,174763
p1_p2,simple,linkedancestor,15,20000,174954
p1_p2,simple,linkedancestor,15,20000,174865
p1_p2,simple,linkedancestor,15,20000,174898
p1_p2,simple,linkedancestor,15,20000,174894
p1_p2,simple,linkedancestor,15,20000,174789
p1_p2,simple,linkedancestor,15,20000,174936
p1_p2,simple,linkedancestor,15,20000,174850
p1_p2,simple,linkedancestor,15,20000,174827
p1_p2,simple,linkedancestor,15,20000,174764
p1_p2,simple,linkedancestor,15,20000,174822
p1_p2,simple,linkedancestor,15,20000,174936
p1_p2,simple,linkedancestor,15,20000,174918
p1_p2,simple,linkedancestor,15,20000,174920
p1_p2,simple,linkedancestor,15,20000,174741
p1_p2,simple,linkedancestor,15,20000,174728
p1_p2,simple,linkedancestor,15,20000,174611
p1_p2,simple,linkedancestor,15,20000,174667
p1_p2,simple,linkedancestor,15,20000,174753
p1_p2,simple,linkedancestor,15,20000,174919
p1_p2,simple,linkedancestor,15,20000,174682
p1_p2,simple,linkedancestor,15,20000,174736
p1_p2,simple,linkedancestor,15,20000,174783
p1_p2,simple,linkedancestor,15,20000,174952
p1_p2,simple,linkedancestor,15,20000,174737
p1_p2,simple,linkedancestor,15,20000,174805
p1_p2,simple,linkedancestor,15,20000,174788
p1_p2,simple,linkedancestor,15,20000,174821
p1_p2,simple,linkedancestor,15,20000,174904
p1_p2,simple,linkedancestor,15,20000,174903
p1_p2,simple,linkedancestor,15,20000,174861
p1_p2,simple,linkedancestor,15,20000,174756
p1_p2,simple,linkedancestor,15,20000,174743
p1_p2,simple,linkedancestor,15,20000,174842
p1_p2,simple,linkedancestor,15,20000,174806
p1_p2,simple,linkedancestor,15,20000,174948
p1_p2,simple,linkedancestor,15,20000,174853
p1_p2,simple,linkedancestor,15,20000,174704
p1_p2,simple,linkedancestor,15,20000,175020
p1_p2,simple,linkedancestor,15,20000,174951
p1_p2,simple,linkedancestor,15,20000,174932
p1_p2,simple,linkedancestor,15,20000,174757
p1_p2,simple,linkedancestor,15,20000,174814
p1_p2,simple,adaptiveint,15,1250,358226
p1_p2,simple,adaptiveint,15,1250,358430
p1_p2,simple,adaptiveint,15,1250,358218
p1_p2,simple,adaptiveint,15,1250,358117
p1_p2,simple,adaptiveint,15,1250,358461
p1_p2,simple,adaptiveint,15,1250,358066
p1_p2,simple,adaptiveint,15,1250,358241
p1_p2,simple,adaptiveint,15,1250,358123
p1_p2,simple,adaptiveint,15,1250,358225
p1_p2,simple,adaptiveint,15,1250,358292
p1_p2,simple,adaptiveint,15,1250,358368
p1_p2,simple,adaptiveint,15,1250,358390
p1_p2,simple,adaptiveint,15,1250,358286
p1_p2,simple,adaptiveint,15,1250,358426
p1_p2,simple,adaptiveint,15,1250,358248
p1_p2,simple,adaptiveint,15,1250,358128
p1_p2,simple,adaptiveint,15,1250,358167
p1_p2,simple,adaptiveint,15,1250,358356
p1_p2,simple,adaptiveint,15,1250,358243
p1_p2,simple,adaptiveint,15,1250,358159
p1_p2,simple,adaptiveint,15,1250,358240
p1_p2,simple,adaptiveint,15,1250,358219
p1_p2,simple,adaptiveint,15,1250,358455
p1_p2,simple,adaptiveint,15,1250,358253
p1_p2,simple,adaptiveint,15,1250,358332
p1_p2,simple,adaptiveint,15,1250,358189
p1_p2,simple,adaptiveint,15,1250,358218
p1_p2,simple,adaptiveint,15,1250,358404
p1_p2,simple,adaptiveint,15,1250,358415
p1_p2,simple,adaptiveint,15,1250,358246
p1_p2,simple,adaptiveint,15,1250,358271
p1_p2,simple,adaptiveint,15,1250,358135
p1_p2,simple,adaptiveint,15,1250,358528
p1_p2,simple,adaptiveint,15,1250,358207
p1_p2,simple,adaptiveint,15,1250,358226
p1_p2,simple,adaptiveint,15,1250,358250
p1_p2,simple,adaptiveint,15,1250,358097
p1_p2,simple,adaptiveint,15,1250,358211
p1_p2,simple,adaptiveint,15,1250,358455
p1_p2,simple,adaptiveint,15,1250,358370
p1_p2,simple,adaptiveint,15,1250,358527
p1_p2,simple,adaptiveint,15,1250,358275
p1_p2,simple,adaptiveint,15,1250,358371
p1_p2,simple,adaptiveint,15,1250,358265
p1_p2,simple,adaptiveint,15,1250,358507
p1_p2,simple,adaptiveint,15,1250,358213
p1_p2,simple,adaptiveint,15,1250,358206
p1_p2,simple,adaptiveint,15,1250,358221
p1_p2,simple,adaptiveint,15,1250,358299
p1_p2,simple,adaptiveint,15,1250,358214
p1_p2,simple,adaptiveint,15,1250,358428
p1_p2,simple,adaptiveint,15,1250,358292
p1_p2,simple,adaptiveint,15,1250,358122
p1_p2,simple,adaptiveint,15,1250,358363
p1_p2,simple,adaptiveint,15,1250,358377
p1_p2,simple,adaptiveint,15,1250,358419
p1_p2,simple,adaptiveint,15,1250,358393
p1_p2,simple,adaptiveint,15,1250,358138
p1_p2,simple,adaptiveint,15,1250,358194
p1_p2,simple,adaptiveint,15,1250,358200
p1_p2,simple,adaptiveint,15,1250,358168
p1_p2,simple,adaptiveint,15,1250,358075
p1_p2,simple,adaptiveint,15,1250,358279
p1_p2,simple,adaptiveint,15,1250,358125
p1_p2,simple,adaptiveint,15,1250,358518
p1_p2,simple,adaptiveint,15,1250,358063
p1_p2,simple,adaptiveint,15,1250,358121
p1_p2,simple,adaptiveint,15,1250,358297
p1_p2,simple,adaptiveint,15,1250,358417
p1_p2,simple,adaptiveint,15,1250,358495
p1_p2,simple,adaptiveint,15,1250,358154
p1_p2,simple,adaptiveint,15,1250,358254
p1_p2,simple,adaptiveint,15,1250,358223
p1_p2,simple,adaptiveint,15,1250,358209
p1_p2,simple,adaptiveint,15,1250,358190
p1_p2,simple,adaptiveint,15,1250,358353
p1_p2,simple,adaptiveint,15,1250,358277
p1_p2,simple,adaptiveint,15,1250,358209
p1_p2,simple,adaptiveint,15,1250,358347
p1_p2,simple,adaptiveint,15,1250,358200
p1_p2,simple,adaptiveint,15,1250,358254
p1_p2,simple,adaptiveint,15,1250,358440
p1_p2,simple,adaptiveint,15,1250,358358
p1_p2,simple,adaptiveint,15,1250,358119
p1_p2,simple,adaptiveint,15,1250,358371
p1_p2,simple,adaptiveint,15,1250,358270
p1_p2,simple,adaptiveint,15,1250,358037
p1_p2,simple,adaptiveint,15,1250,358372
p1_p2,simple,adaptiveint,15,1250,357902
p1_p2,simple,adaptiveint,15,1250,358236
p1_p2,simple,adaptiveint,15,1250,358457
p1_p2,simple,adaptiveint,15,1250,358272
p1_p2,simple,adaptiveint,15,1250,358260
p1_p2,simple,adaptiveint,15,1250,358180
p1_p2,simple,adaptiveint,15,1250,358075
p1_p2,simple,adaptiveint,15,1250,358338
p1_p2,simple,adaptiveint,15,1250,358229
p1_p2,simple,adaptiveint,15,1250,358383
p1_p2,simple,adaptiveint,15,1250,358457
p1_p2,simple,adaptiveint,15,1250,358307
p1_p2,simple,linkedp1,5,20000,174392
p1_p2,simple,linkedp1,5,20000,174535
p1_p2,simple,linkedp1,5,20000,174442
p1_p2,simple,linkedp1,5,20000,174465
p1_p2,simple,linkedp1,5,20000,174609
p1_p2,simple,linkedp1,5,20000,174375
p1_p2,simple,linkedp1,5,20000,174550
p1_p2,simple,linkedp1,5,20000,174504
p1_p2,simple,linkedp1,5,20000,174539
p1_p2,simple,linkedp1,5,20000,174440
p1_p2,simple,linkedp1,5,20000,174385
p1_p2,simple,linkedp1,5,20000,174476
p1_p2,simple,linkedp1,5,20000,174562
p1_p2,simple,linkedp1,5,20000,174598
p1_p2,simple,linkedp1,5,20000,174473
p1_p2,simple,linkedp1,5,20000,174463
p1_p2,simple,linkedp1,5,20000,174515
p1_p2,simple,linkedp1,5,20000,174500
p1_p2,simple,linkedp1,5,20000,174425
p1_p2,simple,linkedp1,5,20000,174521
p1_p2,simple,linkedp1,5,20000,174512
p1_p2,simple,linkedp1,5,20000,174494
p1_p2,simple,linkedp1,5,20000,174364
p1_p2,simple,linkedp1,5,20000,174632
p1_p2,simple,linkedp1,5,20000,174446
p1_p2,simple,linkedp1,5,20000,174486
p1_p2,simple,linkedp1,5,20000,174478
p1_p2,simple,linkedp1,5,20000,174537
p1_p2,simple,linkedp1,5,20000,174371
p1_p2,simple,linkedp1,5,20000,174538
p1_p2,simple,linkedp1,5,20000,174361
p1_p2,simple,linkedp1,5,20000,174587
p1_p2,simple,linkedp1,5,20000,174478
p1_p2,simple,linkedp1,5,20000,174561
p1_p2,simple,linkedp1,5,20000,174554
p1_p2,simple,linkedp1,5,20000,174428
p1_p2,simple,linkedp1,5,20000,174453
p1_p2,simple,linkedp1,5,20000,174500
p1_p2,simple,linkedp1,5,20000,174433
p1_p2,simple,linkedp1,5,20000,174401
p1_p2,simple,linkedp1,5,20000,174508
p1_p2,simple,linkedp1,5,20000,174455
p1_p2,simple,linkedp1,5,20000,174528
p1_p2,simple,linkedp1,5,20000,174531
p1_p2,simple,linkedp1,5,20000,174557
p1_p2,simple,linkedp1,5,20000,174546
p1_p2,simple,linkedp1,5,20000,174490
p1_p2,simple,linkedp1,5,20000,174363
p1_p2,simple,linkedp1,5,20000,174428
p1_p2,simple,linkedp1,5,20000,174542
p1_p2,simple,linkedp1,5,20000,174476
p1_p2,simple,linkedp1,5,20000,174462
p1_p2,simple,linkedp1,5,20000,174408
p1_p2,simple,linkedp1,5,20000,174545
p1_p2,simple,linkedp1,5,20000,174484
p1_p2,simple,linkedp1,5,20000,174435
p1_p2,simple,linkedp1,5,20000,174324
p1_p2,simple,linkedp1,5,20000,174482
p1_p2,simple,linkedp1,5,20000,174501
p1_p2,simple,linkedp1,5,20000,174516
p1_p2,simple,linkedp1,5,20000,174417
p1_p2,simple,linkedp1,5,20000,174514
p1_p2,simple,linkedp1,5,20000,174510
p1_p2,simple,linkedp1,5,20000,174418
p1_p2,simple,linkedp1,5,20000,174488
p1_p2,simple,linkedp1,5,20000,174527
p1_p2,simple,linkedp1,5,20000,174530
p1_p2,simple,linkedp1,5,20000,174526
p1_p2,simple,linkedp1,5,20000,174503
p1_p2,simple,linkedp1,5,20000,174424
p1_p2,simple,linkedp1,5,20000,174490
p1_p2,simple,linkedp1,5,20000,174571
p1_p2,simple,linkedp1,5,20000,174606
p1_p2,simple,linkedp1,5,20000,174455
p1_p2,simple,linkedp1,5,20000,174375
p1_p2,simple,linkedp1,5,20000,174458
p1_p2,simple,linkedp1,5,20000,174405
p1_p2,simple,linkedp1,5,20000,174555
p1_p2,simple,linkedp1,5,20000,174326
p1_p2,simple,linkedp1,5,20000,174508
p1_p2,simple,linkedp1,5,20000,174440
p1_p2,simple,linkedp1,5,20000,174435
p1_p2,simple,linkedp1,5,20000,174390
p1_p2,simple,linkedp1,5,20000,174540
p1_p2,simple,linkedp1,5,20000,174524
p1_p2,simple,linkedp1,5,20000,174678
p1_p2,simple,linkedp1,5,20000,174495
p1_p2,simple,linkedp1,5,20000,174497
p1_p2,simple,linkedp1,5,20000,174354
p1_p2,simple,linkedp1,5,20000,174552
p1_p2,simple,linkedp1,5,20000,174374
p1_p2,simple,linkedp1,5,20000,174455
p1_p2,simple,linkedp1,5,20000,174676
p1_p2,simple,linkedp1,5,20000,174557
p1_p2,simple,linkedp1,5,20000,174368
p1_p2,simple,linkedp1,5,20000,174410
p1_p2,simple,linkedp1,5,20000,174447
p1_p2,simple,linkedp1,5,20000,174472
p1_p2,simple,linkedp1,5,20000,174494
p1_p2,simple,linkedp1,5,20000,174571
nomig,simple,balancing,5,1250,333456
nomig,simple,balancing,5,1250,333463
nomig,simple,balancing,5,1250,333444
nomig,simple,balancing,5,1250,333440
nomig,simple,balancing,5,1250,333387
nomig,simple,balancing,5,1250,333331
nomig,simple,balancing,5,1250,333435
nomig,simple,balancing,5,1250,333353
nomig,simple,balancing,5,1250,333521
nomig,simple,balancing,5,1250,333454
nomig,simple,balancing,5,1250,333301
nomig,simple,balancing,5,1250,333507
nomig,simple,balancing,5,1250,333519
nomig,simple,balancing,5,1250,333457
nomig,simple,balancing,5,1250,333502
nomig,simple,balancing,5,1250,333416
nomig,simple,balancing,5,1250,333273
nomig,simple,balancing,5,1250,333384
nomig,simple,balancing,5,1250,333423
nomig,simple,balancing,5,1250,333450
nomig,simple,balancing,5,1250,333313
nomig,simple,balancing,5,1250,333637
nomig,simple,balancing,5,1250,333340
nomig,simple,balancing,5,1250,333399
nomig,simple,balancing,5,1250,333387
nomig,simple,balancing,5,1250,333479
nomig,simple,balancing,5,1250,333372
nomig,simple,balancing,5,1250,333393
nomig,simple,balancing,5,1250,333264
nomig,simple,balancing,5,1250,333476
nomig,simple,balancing,5,1250,333602
nomig,simple,balancing,5,1250,333410
nomig,simple,balancing,5,1250,333522
nomig,simple,balancing,5,1250,333387
nomig,simple,balancing,5,1250,333500
nomig,simple,balancing,5,1250,333338
nomig,simple,balancing,5,1250,333520
nomig,simple,balancing,5,1250,333421
nomig,simple,balancing,5,1250,333375
nomig,simple,balancing,5,1250,333417
nomig,simple,balancing,5,1250,333511
nomig,simple,balancing,5,1250,333389
nomig,simple,balancing,5,1250,333444
nomig,simple,balancing,5,1250,333360
nomig,simple,balancing,5,1250,333504
nomig,simple,balancing,5,1250,333385
nomig,simple,balancing,5,1250,333468
nomig,simple,balancing,5,1250,333544
nomig,simple,balancing,5,1250,333446
nomig,simple,balancing,5,1250,333350
nomig,simple,balancing,5,1250,333476
nomig,simple,balancing,5,1250,333445
nomig,simple,balancing,5,1250,333406
nomig,simple,balancing,5,1250,333421
nomig,simple,balancing,5,1250,333489
nomig,simple,balancing,5,1250,333375
nomig,simple,balancing,5,1250,333439
nomig,simple,balancing,5,1250,333463
nomig,simple,balancing,5,1250,333462
nomig,simple,balancing,5,1250,333524
nomig,simple,balancing,5,1250,333426
nomig,simple,balancing,5,1250,333534
nomig,simple,balancing,5,1250,333470
nomig,simple,balancing,5,1250,333483
nomig,simple,balancing,5,1250,333477
nomig,simple,balancing,5,1250,333461
nomig,simple,balancing,5,1250,333358
nomig,simple,balancing,5,1250,333505
nomig,simple,balancing,5,1250,333480
nomig,simple,balancing,5,1250,333367
nomig,simple,balancing,5,1250,333507
nomig,simple,balancing,5,1250,333386
nomig,simple,balancing,5,1250,333530
nomig,simple,balancing,5,1250,333544
nomig,simple,balancing,5,1250,333380
nomig,simple,balancing,5,1250,333381
nomig,simple,balancing,5,1250,333477
nomig,simple,balancing,5,1250,333559
nomig,simple,balancing,5,1250,333451
nomig,simple,balancing,5,1250,333594
nomig,simple,balancing,5,1250,333335
nomig,simple,balancing,5,1250,333411
nomig,simple,balancing,5,1250,333535
nomig,simple,balancing,5,1250,333419
nomig,simple,balancing,5,1250,333486
nomig,simple,balancing,5,1250,333530
nomig,simple,balancing,5,1250,333581
nomig,simple,balancing,5,1250,333443
nomig,simple,balancing,5,1250,333424
nomig,simple,balancing,5,1250,333466
nomig,simple,balancing,5,1250,333392
nomig,simple,balancing,5,1250,333510
nomig,simple,balancing,5,1250,333444
nomig,simple,balancing,5,1250,333392
nomig,simple,balancing,5,1250,333476
nomig,simple,balancing,5,1250,333534
nomig,simple,balancing,5,1250,333546
nomig,simple,balancing,5,1250,333456
nomig,simple,balancing,5,1250,333366
nomig,simple,balancing,5,1250,333407
p1_p2,simple,adaptiveint,10,1250,354376
p1_p2,simple,adaptiveint,10,1250,354506
p1_p2,simple,adaptiveint,10,1250,354239
p1_p2,simple,adaptiveint,10,1250,354406
p1_p2,simple,adaptiveint,10,1250,354454
p1_p2,simple,adaptiveint,10,1250,354230
p1_p2,simple,adaptiveint,10,1250,354279
p1_p2,simple,adaptiveint,10,1250,354316
p1_p2,simple,adaptiveint,10,1250,354112
p1_p2,simple,adaptiveint,10,1250,354368
p1_p2,simple,adaptiveint,10,1250,354251
p1_p2,simple,adaptiveint,10,1250,354400
p1_p2,simple,adaptiveint,10,1250,354542
p1_p2,simple,adaptiveint,10,1250,354228
p1_p2,simple,adaptiveint,10,1250,354419
p1_p2,simple,adaptiveint,10,1250,354491
p1_p2,simple,adaptiveint,10,1250,354447
p1_p2,simple,adaptiveint,10,1250,354335
p1_p2,simple,adaptiveint,10,1250,354288
p1_p2,simple,adaptiveint,10,1250,354361
p1_p2,simple,adaptiveint,10,1250,354288
p1_p2,simple,adaptiveint,10,1250,354354
p1_p2,simple,adaptiveint,10,1250,354448
p1_p2,simple,adaptiveint,10,1250,354156
p1_p2,simple,adaptiveint,10,1250,354262
p1_p2,simple,adaptiveint,10,1250,354375
p1_p2,simple,adaptiveint,10,1250,354435
p1_p2,simple,adaptiveint,10,1250,354569
p1_p2,simple,adaptiveint,10,1250,354251
p1_p2,simple,adaptiveint,10,1250,354655
p1_p2,simple,adaptiveint,10,1250,354313
p1_p2,simple,adaptiveint,10,1250,354173
p1_p2,simple,adaptiveint,10,1250,354385
p1_p2,simple,adaptiveint,10,1250,354015
p1_p2,simple,adaptiveint,10,1250,354167
p1_p2,simple,adaptiveint,10,1250,354261
p1_p2,simple,adaptiveint,10,1250,354354
p1_p2,simple,adaptiveint,10,1250,354425
p1_p2,simple,adaptiveint,10,1250,354475
p1_p2,simple,adaptiveint,10,1250,354468
p1_p2,simple,adaptiveint,10,1250,354283
p1_p2,simple,adaptiveint,10,1250,354386
p1_p2,simple,adaptiveint,10,1250,354287
p1_p2,simple,adaptiveint,10,1250,354348
p1_p2,simple,adaptiveint,10,1250,354379
p1_p2,simple,adaptiveint,10,1250,354323
p1_p2,simple,adaptiveint,10,1250,354487
p1_p2,simple,adaptiveint,10,1250,354473
p1_p2,simple,adaptiveint,10,1250,354129
p1_p2,simple,adaptiveint,10,1250,354335
p1_p2,simple,adaptiveint,10,1250,354546
p1_p2,simple,adaptiveint,10,1250,354317
p1_p2,simple,adaptiveint,10,1250,354503
p1_p2,simple,adaptiveint,10,1250,354413
p1_p2,simple,adaptiveint,10,1250,354383
p1_p2,simple,adaptiveint,10,1250,354278
p1_p2,simple,adaptiveint,10,1250,354226
p1_p2,simple,adaptiveint,10,1250,354260
p1_p2,simple,adaptiveint,10,1250,354382
p1_p2,simple,adaptiveint,10,1250,354614
p1_p2,simple,adaptiveint,10,1250,354480
p1_p2,simple,adaptiveint,10,1250,354476
p1_p2,simple,adaptiveint,10,1250,354310
p1_p2,simple,adaptiveint,10,1250,354246
p1_p2,simple,adaptiveint,10,1250,354164
p1_p2,simple,adaptiveint,10,1250,354677
p1_p2,simple,adaptiveint,10,1250,354152
p1_p2,simple,adaptiveint,10,1250,354465
p1_p2,simple,adaptiveint,10,1250,354520
p1_p2,simple,adaptiveint,10,1250,354192
p1_p2,simple,adaptiveint,10,1250,354412
p1_p2,simple,adaptiveint,10,1250,354420
p1_p2,simple,adaptiveint,10,1250,354338
p1_p2,simple,adaptiveint,10,1250,354337
p1_p2,simple,adaptiveint,10,1250,354387
p1_p2,simple,adaptiveint,10,1250,354412
p1_p2,simple,adaptiveint,10,1250,354099
p1_p2,simple,adaptiveint,10,1250,354378
p1_p2,simple,adaptiveint,10,1250,354629
p1_p2,simple,adaptiveint,10,1250,354333
p1_p2,simple,adaptiveint,10,1250,354125
p1_p2,simple,adaptiveint,10,1250,354233
p1_p2,simple,adaptiveint,10,1250,354427
p1_p2,simple,adaptiveint,10,1250,354522
p1_p2,simple,adaptiveint,10,1250,354328
p1_p2,simple,adaptiveint,10,1250,354396
p1_p2,simple,adaptiveint,10,1250,354368
p1_p2,simple,adaptiveint,10,1250,354188
p1_p2,simple,adaptiveint,10,1250,354523
p1_p2,simple,adaptiveint,10,1250,354640
p1_p2,simple,adaptiveint,10,1250,354380
p1_p2,simple,adaptiveint,10,1250,354274
p1_p2,simple,adaptiveint,10,1250,354452
p1_p2,simple,adaptiveint,10,1250,354182
p1_p2,simple,adaptiveint,10,1250,354299
p1_p2,simple,adaptiveint,10,1250,354331
p1_p2,simple,adaptiveint,10,1250,354363
p1_p2,simple,adaptiveint,10,1250,354356
p1_p2,simple,adaptiveint,10,1250,354163
p1_p2,simple,adaptiveint,10,1250,354604
p1_p2,simple,balancing,10,1250,346284
p1_p2,simple,balancing,10,1250,346275
p1_p2,simple,balancing,10,1250,346340
p1_p2,simple,balancing,10,1250,346382
p1_p2,simple,balancing,10,1250,346193
p1_p2,simple,balancing,10,1250,346373
p1_p2,simple,balancing,10,1250,346001
p1_p2,simple,balancing,10,1250,346134
p1_p2,simple,balancing,10,1250,346170
p1_p2,simple,balancing,10,1250,346169
p1_p2,simple,balancing,10,1250,346295
p1_p2,simple,balancing,10,1250,346171
p1_p2,simple,balancing,10,1250,346437
p1_p2,simple,balancing,10,1250,346212
p1_p2,simple,balancing,10,1250,346294
