,MIG12$,MIG21$,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,3.78535e-10,1.43923e-10,2079823,70521,3.4719815,3.4943855,-27508.715,-27498.919,20000,scaled,nomig,neutral,NA,0
0,9.11401e-11,1.90209e-11,1632378,499371,0.5041304,0.4741833,-27494.61,-27483.438,20000,scaled,nomig,neutral,NA,1
0,1.67347e-10,1.16048e-10,2048375,64769,3.6786449,3.5665336,-27376.023,-27366.931,20000,scaled,nomig,neutral,NA,2
0,4.23546e-10,2.87814e-10,1998708,98706,2.3727691,2.4893244,-27423.395,-27417.12,20000,scaled,nomig,neutral,NA,3
0,1.62078e-10,1.46293e-10,2061905,65711,3.6352384,3.6945933,-27402.241,-27393.482,20000,scaled,nomig,neutral,NA,4
0,1.16419e-10,1.10649e-10,2019721,130626,1.7809605,1.7782857,-27294.928,-27284.586,20000,scaled,nomig,neutral,NA,5
0,2.85446e-10,3.23043e-11,1525750,585089,0.405587,0.4111011,-27486.876,-27475.051,20000,scaled,nomig,neutral,NA,6
0,4.67407e-10,6.8567e-11,2012121,114917,2.1774988,2.0625526,-27436.085,-27428.14,20000,scaled,nomig,neutral,NA,7
0,1.57585e-10,4.34393e-11,1989212,133174,1.8016688,1.8145833,-27382.002,-27373.322,20000,scaled,nomig,neutral,NA,8
0,4.89333e-10,1.93408e-10,1834016,155289,1.5962555,1.5868226,-27514.991,-27507.692,20000,scaled,nomig,neutral,NA,9
0,6.68143e-10,4.48524e-10,1752372,270090,0.85171,0.8838753,-27339.006,-27329.437,20000,scaled,nomig,neutral,NA,10
0,2.28541e-11,1.87727e-11,2071020,122827,1.8961016,1.9624619,-27291.189,-27286.443,20000,scaled,nomig,neutral,NA,11
0,2.46075e-10,1.95404e-11,1997754,128487,1.9012169,1.941732,-27486.064,-27473.493,20000,scaled,nomig,neutral,NA,12
0,1.47386e-10,1.89668e-10,2037293,65636,3.6756409,3.6774919,-27556.481,-27548.823,20000,scaled,nomig,neutral,NA,13
0,7.41038e-10,1.23584e-10,1916598,217888,1.1111576,1.1041938,-27384.796,-27370.688,20000,scaled,nomig,neutral,NA,14
0,2.67447e-10,4.92015e-11,1694904,444519,0.5436598,0.5364356,-27381.832,-27371.45,20000,scaled,nomig,neutral,NA,15
0,2.05112e-10,1.07688e-10,2072953,67166,3.6042297,3.5712897,-27485.896,-27475.156,20000,scaled,nomig,neutral,NA,16
0,4.14958e-10,9.6596e-11,1902047,238347,1.0176763,1.0131914,-27465.31,-27455.383,20000,scaled,nomig,neutral,NA,17
0,2.2224e-10,6.51076e-11,1933429,207778,1.1498602,1.1927177,-27396.021,-27383.915,20000,scaled,nomig,neutral,NA,18
0,6.59144e-11,2.01483e-11,2085371,56073,4.3321911,4.2299743,-27491.014,-27482.029,20000,scaled,nomig,neutral,NA,19
0,1.92655e-10,1.00777e-10,1968127,148130,1.6458762,1.6230197,-27476.062,-27468.329,20000,scaled,nomig,neutral,NA,20
0,2.98701e-10,3.64108e-11,2094068,65539,3.6683092,3.5933345,-27389.709,-27380.922,20000,scaled,nomig,neutral,NA,21
0,3.26378e-10,6.27746e-11,2023105,119779,2.0226116,2.0124244,-27441.05,-27431.734,20000,scaled,nomig,neutral,NA,22
0,2.66736e-10,1.08746e-10,1970588,119470,2.0352432,2.0384423,-27459.977,-27450.391,20000,scaled,nomig,neutral,NA,23
0,1.79692e-10,1.27046e-11,1924973,218637,1.1105736,1.0919628,-27435.85,-27430.116,20000,scaled,nomig,neutral,NA,24
0,8.43403e-11,1.91906e-12,2090870,79803,3.0264463,3.0332886,-27396.169,-27386.064,20000,scaled,nomig,neutral,NA,25
0,2.43441e-10,1.74839e-10,1971341,93887,2.5357728,2.5462082,-27339.304,-27332.14,20000,scaled,nomig,neutral,NA,26
0,7.61791e-11,1.93039e-11,2113296,54512,4.3199766,4.3351756,-27353.153,-27346.837,20000,scaled,nomig,neutral,NA,27
