,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,1980309,188699,1.2955536,1.2475998,-27454.707,-27447.272,20000,scaled,nomig,neutral,NA,0
0,2047416,118172,2.0880442,2.0541176,-27422.742,-27417.563,20000,scaled,nomig,neutral,NA,1
0,2092041,54491,4.4275118,4.5232332,-27464.928,-27458.778,20000,scaled,nomig,neutral,NA,2
0,2064161,80924,3.0356667,3.0227088,-27522.289,-27516.91,20000,scaled,nomig,neutral,NA,3
0,2130279,64584,3.710866,3.5865793,-27313.98,-27305.407,20000,scaled,nomig,neutral,NA,4
0,2105074,64610,3.6771875,3.6510304,-27403.469,-27396.57,20000,scaled,nomig,neutral,NA,5
0,2060480,109411,2.184176,2.1568686,-27400.376,-27390.907,20000,scaled,nomig,neutral,NA,6
0,1968382,179386,1.3737235,1.3446036,-27514.06,-27503.817,20000,scaled,nomig,neutral,NA,7
0,1655953,503261,0.4733017,0.4837315,-27463.808,-27457.265,20000,scaled,nomig,neutral,NA,8
0,2084361,68309,3.5755764,3.4996684,-27443.708,-27434.165,20000,scaled,nomig,neutral,NA,9
0,2040099,113770,2.1016527,2.1431807,-27474.861,-27465.418,20000,scaled,nomig,neutral,NA,10
0,2046332,105642,2.2592309,2.309026,-27440.059,-27432.019,20000,scaled,nomig,neutral,NA,11
0,2041289,122281,1.953924,1.9518794,-27445.066,-27435.885,20000,scaled,nomig,neutral,NA,12
0,2087440,78234,3.099732,3.0328851,-27396.417,-27391.859,20000,scaled,nomig,neutral,NA,13
0,2052376,120906,1.97415,1.9997591,-27388.854,-27380.299,20000,scaled,nomig,neutral,NA,14
0,2109264,78021,3.0639057,3.0077788,-27364.891,-27353.223,20000,scaled,nomig,neutral,NA,15
0,1957847,192699,1.2632907,1.2679621,-27542.7,-27534.977,20000,scaled,nomig,neutral,NA,16
0,2111456,65663,3.612412,3.5489365,-27362.493,-27350.215,20000,scaled,nomig,neutral,NA,17
0,2128588,52482,4.6188367,4.4058894,-27373.335,-27366.524,20000,scaled,nomig,neutral,NA,18
0,2103640,62428,3.8653559,3.8081449,-27434.348,-27426.12,20000,scaled,nomig,neutral,NA,19
0,2054256,119197,1.9941218,1.9647086,-27342.669,-27334.613,20000,scaled,nomig,neutral,NA,20
0,2049030,113018,2.1794923,2.1374911,-27403.409,-27387.093,20000,scaled,nomig,neutral,NA,21
0,2130069,52070,4.5838905,4.5909346,-27316.136,-27309.073,20000,scaled,nomig,neutral,NA,22
0,2063099,88040,2.8005745,2.7001473,-27506.232,-27501.07,20000,scaled,nomig,neutral,NA,23
0,2129283,53687,4.4525446,4.4321589,-27331.343,-27324.417,20000,scaled,nomig,neutral,NA,24
0,2093145,91931,2.5745502,2.569536,-27331.035,-27320.707,20000,scaled,nomig,neutral,NA,25
0,2091450,67556,3.5761567,3.607871,-27469.707,-27457.645,20000,scaled,nomig,neutral,NA,26
0,2115965,65493,3.5503259,3.6474606,-27318.566,-27311.289,20000,scaled,nomig,neutral,NA,27
0,2081932,65895,3.721639,3.6362574,-27457.92,-27449.493,20000,scaled,nomig,neutral,NA,28
0,2101109,55339,4.3528481,4.3353653,-27420.58,-27413.57,20000,scaled,nomig,neutral,NA,29
0,2097296,97889,2.4273159,2.33143,-27289.87,-27285.801,20000,scaled,nomig,neutral,NA,30
0,1643942,521579,0.4440896,0.476482,-27402.289,-27392.913,20000,scaled,nomig,neutral,NA,31
0,2117119,61200,3.836976,3.9407159,-27362.314,-27347.246,20000,scaled,nomig,neutral,NA,32
0,2097375,69770,3.4675142,3.4377418,-27488.002,-27481.746,20000,scaled,nomig,neutral,NA,33
0,2096304,84721,2.8491861,2.768192,-27389.311,-27384.815,20000,scaled,nomig,neutral,NA,34
0,2083784,69354,3.4946522,3.4740754,-27484.31,-27477.181,20000,scaled,nomig,neutral,NA,35
0,1667865,512172,0.4537276,0.4798579,-27374.312,-27365.309,20000,scaled,nomig,neutral,NA,36
0,2071122,80508,2.9510155,3.0839228,-27519.302,-27511.3,20000,scaled,nomig,neutral,NA,37
0,2008584,151816,1.5905805,1.5807178,-27408.553,-27401.066,20000,scaled,nomig,neutral,NA,38
0,2036288,115682,2.0754654,2.1033392,-27491.55,-27483.364,20000,scaled,nomig,neutral,NA,39
0,2076099,68548,3.5270884,3.5256094,-27481.285,-27475.69,20000,scaled,nomig,neutral,NA,40
0,2036218,104993,2.3199875,2.2601051,-27526.438,-27516.774,20000,scaled,nomig,neutral,NA,41
0,2102147,73314,3.2525601,3.1908953,-27313.199,-27303.504,20000,scaled,nomig,neutral,NA,42
0,2014763,116412,2.1213089,2.0534735,-27479.26,-27471.388,20000,scaled,nomig,neutral,NA,43
0,2085563,87273,2.8125289,2.6662777,-27409.342,-27400.912,20000,scaled,nomig,neutral,NA,44
0,1777120,391694,0.6260556,0.5996123,-27430.801,-27425.342,20000,scaled,nomig,neutral,NA,45
0,1906973,270468,0.8880992,0.8995044,-27453.167,-27445.753,20000,scaled,nomig,neutral,NA,46
0,2062892,95700,2.5815484,2.5063606,-27463.123,-27452.947,20000,scaled,nomig,neutral,NA,47
0,2070852,91566,2.6256702,2.5957353,-27460.635,-27452.092,20000,scaled,nomig,neutral,NA,48
0,2066231,108570,2.2012731,2.1996573,-27353.894,-27346.681,20000,scaled,nomig,neutral,NA,49
0,2000584,188427,1.2977017,1.2334887,-27372.917,-27363.922,20000,scaled,nomig,neutral,NA,50
0,2053989,123705,1.9707832,1.9515325,-27386.052,-27376.329,20000,scaled,nomig,neutral,NA,51
0,2038610,117788,2.1175383,2.0521068,-27503.177,-27493.464,20000,scaled,nomig,neutral,NA,52
0,2109926,98329,2.4612058,2.4041884,-27361.263,-27349.178,20000,scaled,nomig,neutral,NA,53
0,2104606,77482,3.0532375,3.1744583,-27461.242,-27453.458,20000,scaled,nomig,neutral,NA,54
0,1961958,190450,1.2398225,1.274648,-27486.905,-27480.009,20000,scaled,nomig,neutral,NA,55
0,2092484,64206,3.761019,3.6816619,-27460.869,-27451.706,20000,scaled,nomig,neutral,NA,56
0,1933017,238663,0.9936857,0.9911164,-27401.261,-27394.352,20000,scaled,nomig,neutral,NA,57
0,1870067,271379,0.9109686,0.9027719,-27516.618,-27508.859,20000,scaled,nomig,neutral,NA,58
0,2101531,55453,4.323287,4.3067693,-27386.247,-27374.263,20000,scaled,nomig,neutral,NA,59
0,1902546,231907,0.9965709,1.0701498,-27467.908,-27457.527,20000,scaled,nomig,neutral,NA,60
0,1951461,223778,1.076475,1.0678125,-27375.837,-27364.991,20000,scaled,nomig,neutral,NA,61
0,2077970,95898,2.5563509,2.4516312,-27381.571,-27372.541,20000,scaled,nomig,neutral,NA,62
0,2098427,68047,3.5885392,3.3913252,-27369.67,-27360.068,20000,scaled,nomig,neutral,NA,63
0,2026987,139578,1.703658,1.6993743,-27365.77,-27356.774,20000,scaled,nomig,neutral,NA,64
0,2104517,63930,3.669602,3.8032545,-27398.052,-27392.781,20000,scaled,nomig,neutral,NA,65
0,2068484,93354,2.4547571,2.648131,-27388.016,-27377.136,20000,scaled,nomig,neutral,NA,66
0,2060207,86438,2.8422087,2.7924313,-27467.678,-27459.371,20000,scaled,nomig,neutral,NA,67
0,2100587,54417,4.3293121,4.3525454,-27398.126,-27390.523,20000,scaled,nomig,neutral,NA,68
0,2079081,69177,3.5229681,3.5041338,-27493.794,-27488.755,20000,scaled,nomig,neutral,NA,69
0,2074066,72825,3.3925599,3.3020132,-27513.339,-27501.032,20000,scaled,nomig,neutral,NA,70
0,2064507,110004,2.2081622,2.1792597,-27418.626,-27409.344,20000,scaled,nomig,neutral,NA,71
0,2104491,68224,3.5521213,3.4846549,-27311.301,-27294.05,20000,scaled,nomig,neutral,NA,72
0,2008056,150139,1.6080112,1.6072074,-27353.516,-27341.553,20000,scaled,nomig,neutral,NA,73
0,2075650,70036,3.5680126,3.3303486,-27444.071,-27430.497,20000,scaled,nomig,neutral,NA,74
0,2112212,64394,3.7358646,3.7036683,-27339.92,-27332.793,20000,scaled,nomig,neutral,NA,75
0,2035753,138605,1.7023835,1.7401526,-27365.053,-27357.153,20000,scaled,nomig,neutral,NA,76
0,2058567,92640,2.6797392,2.5625524,-27494.037,-27483.776,20000,scaled,nomig,neutral,NA,77
0,2019899,114424,2.0851987,2.1079878,-27386.292,-27377.718,20000,scaled,nomig,neutral,NA,78
0,2117331,58960,4.1930031,3.9190557,-27380.085,-27372.873,20000,scaled,nomig,neutral,NA,79
0,1982486,168756,1.3908418,1.4696318,-27452.199,-27445.064,20000,scaled,nomig,neutral,NA,80
0,2107284,72195,3.3210494,3.2828513,-27386.199,-27376.592,20000,scaled,nomig,neutral,NA,81
0,2057185,111745,2.1309149,2.1719386,-27355.475,-27347.5,20000,scaled,nomig,neutral,NA,82
0,2078595,94976,2.52877,2.5052269,-27344.744,-27338.053,20000,scaled,nomig,neutral,NA,83
0,1593443,576485,0.4069443,0.4156513,-27435.605,-27425.553,20000,scaled,nomig,neutral,NA,84
0,2030634,124508,1.9201584,1.9195699,-27411.081,-27401.831,20000,scaled,nomig,neutral,NA,85
0,2000068,136032,1.7950051,1.8038218,-27486.266,-27475.953,20000,scaled,nomig,neutral,NA,86
0,2042866,127243,1.9196054,1.8442658,-27413.865,-27408.038,20000,scaled,nomig,neutral,NA,87
0,2107096,59256,3.9812999,4.0462532,-27408.439,-27402.281,20000,scaled,nomig,neutral,NA,88
0,2072817,81722,3.0363105,2.8812601,-27452.571,-27444.453,20000,scaled,nomig,neutral,NA,89
0,1915226,253078,0.9203239,0.9641905,-27355.223,-27349.504,20000,scaled,nomig,neutral,NA,90
