AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
1081.680407138288,852.9494860061498,962.2608522757037,971.8233536543557,889.5063918632743,2.1464044043646644e-50,0.9999999884716076,1.833742729336311e-24,1.537685835809694e-26,1.1528392398569689e-08,SI2N
1135.3029758493717,1139.3019305305777,1000.6782522920503,1006.8194420905486,761.2577399737181,5.985618573783806e-82,8.104888839782483e-83,1.0244631061935696e-52,4.752847743084581e-54,1.0,IM2m
1041.7833201836895,818.9582592336935,943.3188281279979,948.6820862038128,814.5306348101537,4.051948528739749e-50,0.09851698677750154,9.748924376805519e-29,6.673290146756309e-30,0.9014830132224985,IM2m
1095.0821238052504,846.2020933972199,997.8855529639554,948.3917374855048,802.8586086612199,3.5032404366596696e-64,3.873306602767896e-10,4.471334218565524e-43,2.499669600348577e-32,0.9999999996126694,IM2m
1083.3949215185296,978.0011184080183,967.5011404412933,971.9778887548458,960.8674602808551,2.3786519334012393e-27,0.00018293822271456156,0.03486147040287109,0.003717338899328618,0.9612382524750857,IM2m
1029.6090703512841,843.7299928161605,925.2252872957464,925.5356112459291,747.5369945449143,5.608245146255891e-62,1.294064211391159e-21,2.603019848833822e-39,2.2289046495579007e-39,1.0,IM2m
1063.9898221988044,1067.98952787276,937.0288948168165,961.3361028732129,924.1907080026926,4.388344153644407e-31,5.939852051995188e-32,0.0016274804083325424,8.575759725928067e-09,0.9983725110159078,IM2m
1148.0008067389872,1151.9992922509985,1030.5705556298922,1035.9005549633516,1054.7863972758296,2.958840718526417e-26,4.007388889442155e-27,0.9349246690289009,0.06507017425266812,5.1567184308663566e-06,IM
1095.5767692289478,1099.1967101028931,986.6439365338963,991.2046823555204,909.956427908553,4.932362847055109e-41,8.0722544780777e-42,2.22596887043969e-17,2.275965710372415e-18,1.0,IM2m
1109.3924445205146,819.2400549637205,997.7414803309923,1016.3771223225251,996.2585157902379,9.867545831358117e-64,1.0,1.733436653847722e-39,1.556788926352911e-43,3.638560780573424e-39,SI2N
1077.8977266194652,1081.897716037387,950.6967871102277,959.521166061012,756.1753057575438,1.376778126549198e-70,1.8632764357474586e-71,5.757010458799569e-43,6.982444239100311e-45,1.0,IM2m
1167.138391453339,1171.1383302404342,1042.7432047427687,1051.963958648569,1063.298553976796,9.62974055505458e-28,1.3032835537889799e-28,0.9901162045340514,0.009849742982117075,3.405248383142381e-05,IM
